user_id,event_id,event_type,event_sub_event,event_average_rating,clicks
UJ4FCOJ,E06T100,Speed,Technical,4.06,285.2
UJ4FCOJ,E01M142,Poster Making,Competition,3.71,290.0
UJ4FCOJ,E01C121,Poetry,Cultural,4.16,244.4
UZ16UHZ,E07M100,Sketching,Competition,4.92,98.3
U6ZGYO0,E01R100,Webinar,Career,3.89,38.3
U6ZGYO0,E05C100,Concerts,Cultural,4.14,208.4
U6ZGYO0,E06C100,Garba Night,Cultural,4.51,137.6
U6ZGYO0,E07M142,Poster Making,Competition,4.31,45.4
U6ZGYO0,E03M100,Sketching,Competition,3.62,153.6
UGPIPYJ,E06M100,Sketching,Competition,3.76,20.0
UGPIPYJ,E05C121,Poetry,Cultural,3.35,273.7
UWVLLGC,E06R100,Webinar,Career,4.07,85.0
UWVLLGC,E07T100,Speed,Technical,4.28,202.1
UWVLLGC,E03T100,Reload,Technical,4.44,100.4
U1SNJ5B,E10T100,Speed,Technical,3.87,160.8
U1SNJ5B,E06R100,Webinar,Career,3.96,168.5
U1SNJ5B,E08M100,Sketching,Competition,3.43,63.6
U1SNJ5B,E07M100,Sketching,Competition,4.97,291.2
U2FIN3U,E09M100,Sketching,Competition,4.01,234.8
US8W7NS,E10T100,Reload,Technical,4.01,282.5
US8W7NS,E11M142,Poster Making,Competition,3.87,269.5
US8W7NS,E06R100,Webinar,Career,3.24,183.4
UQF1TWL,E08R100,Webinar,Career,3.85,277.3
U6XHO25,E01C100,Garba Night,Cultural,3.48,35.7
U6XHO25,E05R100,Webinar,Career,3.71,66.8
U8FPAB9,E03T100,Nimbus,Technical,3.64,23.1
U8FPAB9,E10C121,Poetry,Cultural,3.85,104.3
U8FPAB9,E02M100,Sketching,Competition,4.48,122.7
U8FPAB9,E11C121,Poetry,Cultural,3.47,88.7
ULOPL33,E12R100,Webinar,Career,4.52,250.3
ULOPL33,E12C100,Garba Night,Cultural,4.24,113.5
UTVLTA0,E06C121,Poetry,Cultural,3.67,91.5
UTVLTA0,E10M100,Sketching,Competition,3.9,167.4
UTVLTA0,E12M100,Sketching,Competition,3.94,50.9
U5ISIDA,E08T100,Nimbus,Technical,4.17,242.6
UQ9EB34,E01R100,Webinar,Career,4.0,31.6
UQ9EB34,E05M142,Poster Making,Competition,3.47,296.2
UQ9EB34,E06M142,Poster Making,Competition,4.08,234.0
UQ9EB34,E12M142,Poster Making,Competition,3.63,67.6
UQ9EB34,E06T100,Reload,Technical,4.28,11.6
UK5CQ7U,E04R100,Webinar,Career,3.89,246.5
UK5CQ7U,E07M142,Poster Making,Competition,4.74,215.0
UK5CQ7U,E06R100,Webinar,Career,3.13,221.4
UGI4U6P,E02M100,Sketching,Competition,4.12,233.7
UGI4U6P,E03T100,Nimbus,Technical,4.68,31.5
UGI4U6P,E06M142,Poster Making,Competition,4.43,114.0
UEZ6K6C,E12T100,Reload,Technical,4.72,43.6
U5W5MYR,E10C100,Garba Night,Cultural,3.38,260.3
U5W5MYR,E10T100,Nimbus,Technical,3.67,190.8
U5W5MYR,E11C121,Poetry,Cultural,4.28,106.0
U5W5MYR,E02T100,Nimbus,Technical,3.16,28.4
UZNHMQU,E12R100,Webinar,Career,4.86,100.2
UZNHMQU,E08R100,Webinar,Career,3.31,104.3
UZNHMQU,E01M100,Sketching,Competition,4.29,221.6
UPKKGKY,E07T100,Reload,Technical,4.61,194.9
UPKKGKY,E10C121,Poetry,Cultural,3.98,267.3
ULVF2EJ,E10C121,Poetry,Cultural,4.97,146.9
ULVF2EJ,E03C121,Poetry,Cultural,4.83,44.7
ULVF2EJ,E01R100,Webinar,Career,4.45,216.8
ULVF2EJ,E01R100,Webinar,Career,4.37,230.6
ULVF2EJ,E07T100,Nimbus,Technical,4.71,172.8
UIX1WKE,E09C121,Poetry,Cultural,4.22,233.6
UIX1WKE,E06M100,Sketching,Competition,4.16,153.2
UIX1WKE,E11T100,Nimbus,Technical,4.15,161.6
UIIQECK,E12C100,Concerts,Cultural,4.32,134.0
U99RCS2,E01R100,Webinar,Career,3.85,17.4
UPIBC2V,E08R100,Webinar,Career,3.39,41.3
UPIBC2V,E05T100,Reload,Technical,3.93,19.1
UPIBC2V,E07T100,Nimbus,Technical,3.7,194.6
UPIBC2V,E07M100,Sketching,Competition,4.22,101.2
U52UKPK,E12M142,Poster Making,Competition,3.9,157.5
U52UKPK,E11C100,Garba Night,Cultural,3.79,273.2
U52UKPK,E07C100,Garba Night,Cultural,4.73,82.3
U37B6K3,E09R100,Webinar,Career,2.89,129.0
U37B6K3,E02T100,Nimbus,Technical,3.59,229.1
UG90TOJ,E01T100,Reload,Technical,3.42,76.4
ULUFTO8,E05C100,Garba Night,Cultural,3.44,32.3
ULUFTO8,E06T100,Reload,Technical,4.67,94.0
ULUFTO8,E09T100,Nimbus,Technical,4.67,56.8
UEGMLE7,E12M100,Sketching,Competition,3.84,279.6
UEGMLE7,E02T100,Nimbus,Technical,4.36,244.4
UEGMLE7,E07M100,Sketching,Competition,3.68,193.7
U97XLKE,E02C100,Garba Night,Cultural,4.71,262.7
U97XLKE,E02M100,Sketching,Competition,3.25,243.1
U97XLKE,E07T100,Reload,Technical,4.03,64.1
UDAOMWO,E02C121,Poetry,Cultural,4.11,268.8
UDAOMWO,E09C100,Garba Night,Cultural,4.1,166.4
UDAOMWO,E03T100,Reload,Technical,3.49,244.2
U1G7G5V,E11M100,Sketching,Competition,4.89,269.9
UG63QGN,E04M100,Sketching,Competition,3.22,102.2
UG63QGN,E08T100,Speed,Technical,4.51,41.9
UG63QGN,E08M142,Poster Making,Competition,3.61,76.1
UG63QGN,E03T100,Speed,Technical,3.48,133.9
UAJLX50,E02C100,Garba Night,Cultural,2.72,247.2
UAJLX50,E10T100,Nimbus,Technical,4.89,259.6
UAJLX50,E09R100,Webinar,Career,4.21,12.0
UAJLX50,E02R100,Webinar,Career,4.51,158.1
UAJLX50,E11R100,Webinar,Career,2.85,131.0
U4AFUOS,E08C100,Concerts,Cultural,3.77,74.4
UY2R34X,E09R100,Webinar,Career,3.98,44.8
UY2R34X,E05C100,Garba Night,Cultural,3.33,107.9
UY2R34X,E09M142,Poster Making,Competition,4.23,283.4
UY2R34X,E09C121,Poetry,Cultural,3.24,103.7
UTLEOT2,E04T100,Speed,Technical,3.84,160.4
UTLEOT2,E11M100,Sketching,Competition,3.74,213.9
UTLEOT2,E09M142,Poster Making,Competition,3.64,115.5
UTLEOT2,E08C100,Concerts,Cultural,3.96,291.8
UTLEOT2,E02M142,Poster Making,Competition,3.47,289.1
U7CQFNB,E05R100,Webinar,Career,4.8,83.0
UYBT6QP,E10R100,Webinar,Career,4.53,154.2
UYBT6QP,E01R100,Webinar,Career,4.47,97.3
UA6G1LU,E06M100,Sketching,Competition,3.6,92.6
UA6G1LU,E05R100,Webinar,Career,4.18,20.7
U5KKCGL,E11C100,Garba Night,Cultural,4.06,186.8
U5KKCGL,E01T100,Nimbus,Technical,3.47,155.8
U5KKCGL,E02C100,Garba Night,Cultural,3.92,24.9
U5KKCGL,E12M100,Sketching,Competition,4.83,90.8
UYJ4GYA,E10T100,Reload,Technical,3.92,273.4
UYJ4GYA,E08M142,Poster Making,Competition,4.12,79.5
UYJ4GYA,E09T100,Speed,Technical,5.0,52.0
UGUI0YU,E05C100,Concerts,Cultural,4.33,151.9
UGUI0YU,E03R100,Webinar,Career,3.88,295.8
UOYL5FN,E03R100,Webinar,Career,4.04,80.2
UOYL5FN,E02R100,Webinar,Career,3.79,204.9
UOYL5FN,E09T100,Reload,Technical,3.65,230.9
UOYL5FN,E04T100,Nimbus,Technical,3.65,78.9
UOYL5FN,E08R100,Webinar,Career,3.73,221.2
UPU90RZ,E04M100,Sketching,Competition,3.6,116.7
UPU90RZ,E06R100,Webinar,Career,4.64,193.4
UN6IRGR,E08M142,Poster Making,Competition,3.82,193.7
UN6IRGR,E04R100,Webinar,Career,3.3,165.4
UR667RL,E01T100,Nimbus,Technical,4.15,36.2
UR667RL,E11T100,Nimbus,Technical,3.95,252.2
UR667RL,E08C100,Garba Night,Cultural,4.08,103.0
UA6ETCA,E03R100,Webinar,Career,3.71,64.1
UA6ETCA,E06R100,Webinar,Career,3.92,21.8
UA6ETCA,E01C100,Garba Night,Cultural,4.6,181.4
UQP4OUF,E06T100,Reload,Technical,3.83,206.5
UQP4OUF,E06R100,Webinar,Career,4.1,14.8
UQP4OUF,E02M142,Poster Making,Competition,4.13,158.5
UQP4OUF,E05R100,Webinar,Career,3.4,75.7
UJCI8ZB,E11M142,Poster Making,Competition,3.99,197.1
U99Q8GZ,E09R100,Webinar,Career,4.36,60.6
U99Q8GZ,E05R100,Webinar,Career,3.52,210.4
UWQYLNU,E07R100,Webinar,Career,3.53,122.2
UWQYLNU,E08T100,Reload,Technical,3.11,281.7
UWQYLNU,E10C100,Concerts,Cultural,3.92,49.9
UWQYLNU,E12T100,Nimbus,Technical,3.77,108.9
UWQYLNU,E11C100,Garba Night,Cultural,4.34,42.9
UAPO4OD,E09M142,Poster Making,Competition,3.97,278.2
UAPO4OD,E11C121,Poetry,Cultural,5.0,264.4
UAPO4OD,E10M100,Sketching,Competition,4.3,84.8
UAPO4OD,E04M142,Poster Making,Competition,3.47,201.4
UAPO4OD,E10C121,Poetry,Cultural,4.02,247.0
UWZINMG,E03R100,Webinar,Career,4.72,171.0
UWZINMG,E07C121,Poetry,Cultural,4.42,163.6
UWZINMG,E07C100,Garba Night,Cultural,4.13,80.1
UWZINMG,E11M142,Poster Making,Competition,4.05,37.0
UWZINMG,E05C100,Concerts,Cultural,4.3,270.2
UVUJ9KQ,E10R100,Webinar,Career,4.62,271.1
UVUJ9KQ,E11C100,Concerts,Cultural,4.47,193.6
UVUJ9KQ,E05T100,Speed,Technical,4.98,108.3
UVUJ9KQ,E12R100,Webinar,Career,4.56,111.3
UVUJ9KQ,E01R100,Webinar,Career,4.38,220.5
U98556I,E09M100,Sketching,Competition,3.89,270.2
U98556I,E01M142,Poster Making,Competition,4.02,267.3
U98556I,E06C100,Garba Night,Cultural,4.35,236.2
UW6UXTM,E03R100,Webinar,Career,3.45,196.2
UW6UXTM,E08T100,Reload,Technical,4.21,34.4
UHDYGZL,E09M142,Poster Making,Competition,3.23,56.9
UHDYGZL,E09R100,Webinar,Career,4.19,270.6
UHDYGZL,E03R100,Webinar,Career,4.42,185.9
UHDYGZL,E05C100,Concerts,Cultural,4.24,12.7
UHDYGZL,E07M142,Poster Making,Competition,3.59,39.4
UYVJ4RF,E03T100,Reload,Technical,3.41,202.4
UYVJ4RF,E12C100,Concerts,Cultural,3.72,11.5
UYVJ4RF,E09C100,Garba Night,Cultural,4.3,56.6
UYVJ4RF,E09C121,Poetry,Cultural,4.07,169.1
UYVJ4RF,E05C100,Garba Night,Cultural,3.06,210.6
U9XQUWY,E10M100,Sketching,Competition,3.81,199.1
U9XQUWY,E05R100,Webinar,Career,4.35,75.0
UEAH4ZT,E04M100,Sketching,Competition,4.03,216.5
UEAH4ZT,E02M142,Poster Making,Competition,3.24,78.8
UEAH4ZT,E08T100,Reload,Technical,3.02,104.4
UX1GSCG,E07R100,Webinar,Career,4.43,226.5
UX1GSCG,E08C100,Concerts,Cultural,3.07,198.4
UX1GSCG,E06M142,Poster Making,Competition,3.38,256.3
UX1GSCG,E02M142,Poster Making,Competition,3.87,200.7
UX1GSCG,E06C121,Poetry,Cultural,3.91,174.8
U9TSANS,E11M100,Sketching,Competition,3.6,37.2
U9TSANS,E12T100,Reload,Technical,3.9,116.6
U9TSANS,E02R100,Webinar,Career,4.33,86.9
UBBDBP6,E04R100,Webinar,Career,3.95,80.8
UBBDBP6,E04R100,Webinar,Career,3.93,292.2
UBBDBP6,E09T100,Reload,Technical,3.76,124.0
UBBDBP6,E10T100,Nimbus,Technical,3.39,268.7
UBBDBP6,E06R100,Webinar,Career,3.96,193.0
UTWXGR6,E04C100,Concerts,Cultural,4.37,240.5
UTWXGR6,E02R100,Webinar,Career,3.66,155.8
UTWXGR6,E09M100,Sketching,Competition,3.72,177.3
UTWXGR6,E02R100,Webinar,Career,3.81,152.8
UTWXGR6,E09M100,Sketching,Competition,4.04,66.6
U6BSTLM,E11M142,Poster Making,Competition,3.0,219.5
U6BSTLM,E04R100,Webinar,Career,4.04,91.4
U6BSTLM,E08C100,Concerts,Cultural,4.67,17.1
U6BSTLM,E08M100,Sketching,Competition,4.22,197.2
U6BSTLM,E02C121,Poetry,Cultural,3.5,61.4
USZTE28,E06T100,Speed,Technical,3.45,282.7
USZTE28,E07C100,Garba Night,Cultural,3.79,286.6
U5LAO8S,E09C121,Poetry,Cultural,4.63,275.3
U5LAO8S,E03M142,Poster Making,Competition,4.15,117.3
U5LAO8S,E11C100,Garba Night,Cultural,3.39,14.5
UBPF3CQ,E10C100,Concerts,Cultural,4.03,279.2
UBPF3CQ,E07T100,Nimbus,Technical,3.35,134.2
UPSHES2,E07M100,Sketching,Competition,3.32,290.3
UPSHES2,E08T100,Reload,Technical,3.28,289.4
UPSHES2,E05C121,Poetry,Cultural,4.3,257.4
UPSHES2,E11M100,Sketching,Competition,3.89,95.4
UPSHES2,E12M100,Sketching,Competition,3.81,121.7
U0V1RKW,E08C100,Garba Night,Cultural,4.09,256.8
U0V1RKW,E02R100,Webinar,Career,3.74,101.9
U0V1RKW,E02R100,Webinar,Career,4.01,59.2
U0V1RKW,E06M142,Poster Making,Competition,4.33,171.5
U0V1RKW,E12C100,Concerts,Cultural,3.89,281.5
ULIDNBS,E06C121,Poetry,Cultural,4.17,211.8
ULIDNBS,E05M142,Poster Making,Competition,3.64,175.3
ULIDNBS,E04M100,Sketching,Competition,4.05,38.2
ULIDNBS,E12C100,Concerts,Cultural,3.91,188.4
UCZRFGH,E06M100,Sketching,Competition,3.42,297.1
UCZRFGH,E01M142,Poster Making,Competition,5.0,50.6
UCZRFGH,E03R100,Webinar,Career,4.67,160.3
UCZRFGH,E08M142,Poster Making,Competition,4.55,264.4
U2MOVP6,E02T100,Reload,Technical,4.45,224.8
U2MOVP6,E09R100,Webinar,Career,3.57,212.1
U2MOVP6,E03R100,Webinar,Career,4.57,213.7
UZ26DWU,E02R100,Webinar,Career,4.35,114.3
UEKW5FS,E03R100,Webinar,Career,4.68,95.1
UEKW5FS,E04M100,Sketching,Competition,3.57,244.7
UQ6O96T,E11R100,Webinar,Career,4.95,244.9
UQ6O96T,E01T100,Nimbus,Technical,2.98,261.5
UQ6O96T,E03T100,Nimbus,Technical,4.33,274.8
UQ6O96T,E04T100,Nimbus,Technical,3.5,158.3
UB2510D,E03C121,Poetry,Cultural,3.77,155.4
UB2510D,E11M100,Sketching,Competition,3.71,241.5
UB2510D,E10R100,Webinar,Career,3.4,198.5
UB2510D,E12M142,Poster Making,Competition,3.58,213.6
U9L8J4V,E05M142,Poster Making,Competition,3.44,240.8
U9L8J4V,E04R100,Webinar,Career,4.25,268.1
U9L8J4V,E06C100,Garba Night,Cultural,4.13,108.0
U9L8J4V,E04C100,Concerts,Cultural,4.91,118.9
UDJHCGZ,E12T100,Speed,Technical,3.74,37.3
UDJHCGZ,E01T100,Reload,Technical,5.0,177.7
USQHL9B,E04C100,Garba Night,Cultural,4.75,20.4
USQHL9B,E10M100,Sketching,Competition,4.26,145.0
UVXTILW,E05R100,Webinar,Career,3.98,167.4
UVXTILW,E10T100,Nimbus,Technical,4.34,93.1
UX8XP9B,E05C121,Poetry,Cultural,3.7,181.3
UX8XP9B,E04M142,Poster Making,Competition,4.36,18.8
UNHNMJ4,E02C100,Garba Night,Cultural,4.06,20.8
UNHNMJ4,E07C100,Concerts,Cultural,3.99,248.6
UNHNMJ4,E12M100,Sketching,Competition,3.49,114.5
UNHNMJ4,E06M100,Sketching,Competition,3.92,46.8
UNHNMJ4,E09T100,Speed,Technical,3.88,161.5
UHAXJ6A,E12R100,Webinar,Career,4.41,233.3
UDEQU4R,E10M100,Sketching,Competition,4.21,72.6
UHQ6GN4,E02R100,Webinar,Career,4.35,190.6
UHQ6GN4,E03T100,Nimbus,Technical,4.37,34.8
UMWYJHQ,E02R100,Webinar,Career,4.26,25.0
UXN0HXH,E03T100,Speed,Technical,3.04,164.1
UXN0HXH,E10M100,Sketching,Competition,3.58,166.8
URLEGWJ,E04R100,Webinar,Career,3.89,194.9
URLEGWJ,E02M142,Poster Making,Competition,3.26,220.6
U3VVPJM,E09R100,Webinar,Career,3.58,293.0
U3VVPJM,E01T100,Reload,Technical,3.14,159.7
U3VVPJM,E11R100,Webinar,Career,4.27,103.7
U3VVPJM,E08R100,Webinar,Career,3.24,240.6
UU6NUTE,E10R100,Webinar,Career,4.08,88.5
U6CVOKW,E08T100,Nimbus,Technical,4.69,137.3
U6CVOKW,E10M142,Poster Making,Competition,4.44,32.8
U6CVOKW,E09T100,Reload,Technical,4.48,17.4
U6CVOKW,E10T100,Speed,Technical,4.59,289.2
U9S93WQ,E03M142,Poster Making,Competition,3.88,252.4
U9S93WQ,E08R100,Webinar,Career,4.08,211.8
U9S93WQ,E04R100,Webinar,Career,4.65,128.6
U9S93WQ,E10T100,Reload,Technical,3.79,60.3
UQ3NJLD,E08C121,Poetry,Cultural,3.66,55.4
UQ3NJLD,E10R100,Webinar,Career,4.12,82.6
UG2292R,E07M100,Sketching,Competition,3.99,169.3
UG2292R,E12T100,Speed,Technical,4.37,217.2
UG2292R,E11T100,Nimbus,Technical,3.77,201.5
UH6DEIK,E10R100,Webinar,Career,4.02,91.2
UH6DEIK,E01R100,Webinar,Career,4.15,286.9
UH6DEIK,E06R100,Webinar,Career,4.3,224.0
UH6DEIK,E04C121,Poetry,Cultural,4.68,170.8
UH6DEIK,E06C121,Poetry,Cultural,3.81,187.4
UFM8GFX,E04M100,Sketching,Competition,3.84,131.7
UFM8GFX,E08C100,Concerts,Cultural,4.54,81.8
UFM8GFX,E05C100,Concerts,Cultural,3.84,113.2
U8F22YH,E03C121,Poetry,Cultural,4.05,229.8
U8F22YH,E09C100,Concerts,Cultural,3.81,14.2
U8F22YH,E05R100,Webinar,Career,4.26,43.7
U8F22YH,E08R100,Webinar,Career,3.59,23.3
UYNKEWX,E04M100,Sketching,Competition,3.25,21.8
UYNKEWX,E04C100,Concerts,Cultural,3.94,258.1
UGVOAZT,E06T100,Nimbus,Technical,5.0,214.1
U57TOQY,E05T100,Speed,Technical,3.24,147.5
U57TOQY,E02R100,Webinar,Career,4.38,38.4
UQWLZ0Z,E01M100,Sketching,Competition,3.59,152.6
UTSUTDQ,E01M142,Poster Making,Competition,4.03,147.3
UTSUTDQ,E06M100,Sketching,Competition,2.92,60.2
ULYQA1O,E08R100,Webinar,Career,3.99,135.8
ULYQA1O,E10M142,Poster Making,Competition,4.06,125.6
UDJYCOV,E07M142,Poster Making,Competition,3.86,188.6
UAAIBCI,E06C100,Concerts,Cultural,3.44,194.2
UAAIBCI,E10M142,Poster Making,Competition,3.64,23.1
UAAIBCI,E06T100,Reload,Technical,3.8,118.6
UQQT6O3,E06T100,Speed,Technical,3.8,191.5
UCG5780,E03R100,Webinar,Career,4.07,155.9
UCG5780,E09M142,Poster Making,Competition,4.4,258.4
UCQMYVR,E06C121,Poetry,Cultural,3.91,201.0
UCQMYVR,E11M100,Sketching,Competition,3.73,57.3
UCQMYVR,E02R100,Webinar,Career,4.1,30.5
UZIXL0Y,E08R100,Webinar,Career,3.09,196.3
ULMRB10,E03C100,Concerts,Cultural,3.92,17.7
ULMRB10,E10T100,Nimbus,Technical,3.39,179.9
ULMRB10,E07R100,Webinar,Career,3.98,282.7
ULMRB10,E04C121,Poetry,Cultural,4.39,176.9
UDP369M,E02R100,Webinar,Career,3.62,122.6
UDP369M,E01C100,Concerts,Cultural,4.24,196.6
UDP369M,E02C100,Concerts,Cultural,3.14,142.9
UDP369M,E08R100,Webinar,Career,4.25,168.2
U1KMP3Q,E05T100,Nimbus,Technical,3.47,283.0
U1KMP3Q,E08C100,Garba Night,Cultural,2.75,122.0
UEPC7AS,E08T100,Speed,Technical,3.23,288.7
UEPC7AS,E05M100,Sketching,Competition,3.67,272.6
UEPC7AS,E12T100,Reload,Technical,4.0,66.8
UEPC7AS,E08M100,Sketching,Competition,3.82,30.1
U5E78YN,E12C121,Poetry,Cultural,3.5,39.2
U5E78YN,E01R100,Webinar,Career,4.86,15.3
U5E78YN,E05C100,Concerts,Cultural,3.93,37.4
U5E78YN,E05R100,Webinar,Career,4.39,208.1
U5E78YN,E12R100,Webinar,Career,3.55,30.6
U23GCMV,E06T100,Nimbus,Technical,4.52,102.5
U23GCMV,E01C100,Concerts,Cultural,3.78,255.0
U23GCMV,E06R100,Webinar,Career,4.14,16.7
U23GCMV,E08M142,Poster Making,Competition,3.66,246.2
UPARTMN,E03M100,Sketching,Competition,4.08,91.7
UPARTMN,E12C100,Concerts,Cultural,3.37,44.3
UPARTMN,E04T100,Speed,Technical,4.24,212.1
UPARTMN,E03R100,Webinar,Career,4.01,192.4
UPARTMN,E12M100,Sketching,Competition,3.49,264.5
UKLDLFO,E02M142,Poster Making,Competition,4.05,223.2
UKLDLFO,E06R100,Webinar,Career,4.19,243.0
UKLDLFO,E11C121,Poetry,Cultural,3.78,91.8
UNY8SA3,E01M142,Poster Making,Competition,4.13,61.5
UNY8SA3,E05C121,Poetry,Cultural,4.38,227.7
UNY8SA3,E10R100,Webinar,Career,4.09,244.0
UHXWN4D,E01C100,Garba Night,Cultural,3.51,297.2
UHXWN4D,E09M142,Poster Making,Competition,4.29,129.7
UHXWN4D,E09M100,Sketching,Competition,3.76,117.9
US161T9,E01C121,Poetry,Cultural,3.81,235.2
US161T9,E06C121,Poetry,Cultural,4.37,108.8
US161T9,E04T100,Reload,Technical,3.69,279.9
UUW1GDS,E05T100,Reload,Technical,4.17,258.9
UUW1GDS,E11C100,Garba Night,Cultural,3.6,134.4
UUW1GDS,E02R100,Webinar,Career,4.93,227.8
UUW1GDS,E04C100,Garba Night,Cultural,3.69,228.8
UHGIB6O,E05T100,Speed,Technical,4.18,39.9
UHGIB6O,E09M100,Sketching,Competition,5.0,271.7
UHGIB6O,E04C121,Poetry,Cultural,4.32,156.5
UHGIB6O,E08M100,Sketching,Competition,5.0,249.7
UHGIB6O,E09T100,Reload,Technical,3.41,102.8
UIVCJAF,E07T100,Reload,Technical,4.43,269.7
UIVCJAF,E05M142,Poster Making,Competition,3.39,122.9
UIVCJAF,E02R100,Webinar,Career,3.61,13.1
U55OAQA,E03R100,Webinar,Career,4.13,272.6
UY6CDNF,E05M142,Poster Making,Competition,4.51,36.5
UY6CDNF,E01R100,Webinar,Career,4.02,102.6
UI6QZ6N,E11C121,Poetry,Cultural,3.98,285.5
UI6QZ6N,E06C100,Garba Night,Cultural,3.6,285.7
UI6QZ6N,E06R100,Webinar,Career,3.66,176.3
U57GR7G,E08R100,Webinar,Career,3.11,193.2
UZZBCCC,E06T100,Speed,Technical,4.36,140.0
UZZBCCC,E04R100,Webinar,Career,3.72,95.0
UZZBCCC,E07M142,Poster Making,Competition,3.58,105.3
UUIMSXH,E11M142,Poster Making,Competition,4.0,205.0
UUIMSXH,E09R100,Webinar,Career,3.91,228.2
UUIMSXH,E12M100,Sketching,Competition,4.48,239.6
UUIMSXH,E06T100,Nimbus,Technical,3.76,239.0
UUIMSXH,E09T100,Nimbus,Technical,3.2,36.4
U83A93H,E07T100,Speed,Technical,4.79,153.4
U83A93H,E07C121,Poetry,Cultural,4.72,26.7
U83A93H,E04T100,Nimbus,Technical,3.35,169.4
U83A93H,E10R100,Webinar,Career,3.9,138.0
USR7OLK,E02R100,Webinar,Career,4.29,267.4
USR7OLK,E05R100,Webinar,Career,3.88,111.8
USR7OLK,E07T100,Nimbus,Technical,3.62,43.9
USR7OLK,E05R100,Webinar,Career,4.11,51.5
UAJZJEE,E05R100,Webinar,Career,4.17,230.8
UAJZJEE,E05C100,Garba Night,Cultural,4.49,189.3
UAJZJEE,E09T100,Reload,Technical,5.0,39.3
UAJZJEE,E02R100,Webinar,Career,3.99,34.4
ULIWLX6,E09T100,Speed,Technical,4.28,213.3
ULIWLX6,E10C121,Poetry,Cultural,4.55,31.1
ULIWLX6,E12M142,Poster Making,Competition,3.91,248.3
U1U3LDP,E02T100,Speed,Technical,4.18,214.8
U1U3LDP,E11C100,Garba Night,Cultural,4.1,33.6
U1U3LDP,E08T100,Speed,Technical,3.84,34.6
UQVFVRL,E11M100,Sketching,Competition,4.8,296.1
UQVFVRL,E09R100,Webinar,Career,3.32,118.5
UQVFVRL,E10T100,Speed,Technical,3.91,117.5
UTGFY2V,E01M100,Sketching,Competition,3.98,245.7
UTGFY2V,E08C121,Poetry,Cultural,2.98,284.7
UTYL8PN,E04R100,Webinar,Career,3.77,295.9
UTYL8PN,E08C100,Garba Night,Cultural,4.81,228.5
UTYL8PN,E01R100,Webinar,Career,3.46,119.1
UCXRINE,E12C100,Concerts,Cultural,4.01,34.2
UCXRINE,E07T100,Nimbus,Technical,4.02,235.4
UCXRINE,E07R100,Webinar,Career,3.94,171.9
U4WQ6B2,E02M100,Sketching,Competition,4.17,133.0
U4WQ6B2,E12T100,Speed,Technical,4.6,272.8
U4WQ6B2,E08M142,Poster Making,Competition,4.0,42.2
U4WQ6B2,E06T100,Speed,Technical,3.47,152.9
U4WQ6B2,E11R100,Webinar,Career,4.93,13.3
UMDRX2L,E03M142,Poster Making,Competition,4.44,145.9
UMDRX2L,E01T100,Speed,Technical,3.49,26.3
UMDRX2L,E11C121,Poetry,Cultural,4.32,44.5
UMDRX2L,E10M142,Poster Making,Competition,3.98,44.1
UMDRX2L,E01T100,Speed,Technical,4.26,198.3
U8RR1UV,E09C100,Concerts,Cultural,4.63,226.4
U8RR1UV,E06R100,Webinar,Career,5.0,179.2
